MovieName,MovieID,Genre,UserID,Rating,Timestamp,Gender,Age,Occupation,Zip-code,age_group
"Affair of Love, An (Une Liaison Pornographique) (1999)",3855,"Drama|Romance,",146,3,991322219,F,35,20,10954,30-40
"Affair to Remember, An (1957)",932,"Romance,",10,2,979167985,F,35,1,95370,30-40
Affliction (1997),2439,"Drama,,",69,4,977882050,F,25,1,02143,20-30
"African Queen, The (1951)",969,"Action|Adventure|Romance|War,",10,3,979167867,F,35,1,95370,30-40
After Life (1998),2624,"Drama,,",195,4,1023901704,M,25,12,10458,20-30
Afterglow (1997),1733,"Drama|Romance,,",5,3,978246450,M,25,20,55455,20-30
Against All Odds (1984),3206,"Romance,,",26,4,978141354,M,25,7,23112,20-30
"Age of Innocence, The (1993)",412,"Drama,",5,2,978245891,M,25,20,55455,20-30
Agnes Browne (1999),3124,"Comedy|Drama,,",72,4,977868532,F,45,0,55122,40-50
Agnes of God (1985),3251,"Drama|Mystery,,",44,4,1004410197,M,45,17,98052,40-50
Aimée & Jaguar (1999),3854,"Drama|Romance,,",235,5,980128200,M,25,0,98153,20-30
Aiqing wansui (1994),872,"Drama,,",3234,3,968366331,F,1,0,90012,1-10
Air America (1990),3841,"Action|Comedy,,",62,4,977905426,F,35,3,98105,30-40
Air Bud (1997),1592,"Children's|Comedy,,",75,4,977852680,F,1,10,01748,1-10
Air Bud: Golden Receiver (1998),2152,"Children's|Comedy,,",48,1,977975061,M,25,4,92107,20-30
Air Force One (1997),1608,"Action|Thriller,,",15,3,978198379,M,25,7,22903,20-30
"Air Up There, The (1994)",414,"Comedy,",202,2,976940716,M,18,4,53706,10-20
Airheads (1994),413,"Comedy,,",26,2,978139790,M,25,7,23112,20-30
Airplane II: The Sequel (1982),2792,"Comedy,,",22,3,978153241,M,18,15,53706,10-20
Airplane! (1980),2791,"Comedy,,",1,4,978302188,F,1,10,48067,1-10
Airport '77 (1977),2522,"Drama,,",513,3,976205243,M,25,0,55119,20-30
Airport (1970),2520,"Drama,,",42,4,978039010,M,25,8,24502,20-30
Airport 1975 (1974),2521,"Drama,,",319,2,1016590228,F,50,6,33436,40-50
Akira (1988),1274,"Adventure|Animation|Sci-Fi|Thriller,,",8,5,978233462,M,25,12,11413,20-30
Aladdin (1992),588,"Animation|Children's|Comedy|Musical,,",1,4,978824268,F,1,10,48067,1-10
Aladdin and the King of Thieves (1996),1064,"Animation|Children's|Comedy,,",18,2,978155020,F,18,3,95825,10-20
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",1853,"Comedy,",549,3,976071524,M,25,6,53217,20-30
"Alarmist, The (1997)",2317,"Comedy,",710,3,975829602,M,25,20,85207,20-30
Alaska (1996),808,"Adventure|Children's,,",148,4,979577693,M,50,17,57747,40-50
Albino Alligator (1996),1352,"Crime|Thriller,,",53,3,977974445,M,25,0,96931,20-30
Algiers (1938),974,"Drama|Romance,,",62,3,977909249,F,35,3,98105,30-40
Alice and Martin (Alice et Martin) (1998),2773,"Drama,,",673,5,975618857,M,25,20,10023,20-30
Alice in Wonderland (1951),1032,"Animation|Children's|Musical,,",10,4,978228428,F,35,1,95370,30-40
Alien (1979),1214,"Action|Horror|Sci-Fi|Thriller,,",4,4,978294260,M,45,7,02460,40-50
Alien Escape (1995),1692,"Horror|Sci-Fi,,",602,1,975878425,F,56,6,14612,50-60
Alien Nation (1988),3701,"Crime|Drama|Sci-Fi,,",10,3,978227871,F,35,1,95370,30-40
Alien: Resurrection (1997),1690,"Action|Horror|Sci-Fi,,",2,3,978300051,M,56,16,70072,50-60
Aliens (1986),1200,"Action|Sci-Fi|Thriller|War,,",10,5,979168160,F,35,1,95370,30-40
Alien³ (1992),1320,"Action|Horror|Sci-Fi|Thriller,,",10,3,978230837,F,35,1,95370,30-40
Alive (1993),3250,"Drama,,",8,3,978230184,M,25,12,11413,20-30
All About Eve (1950),926,"Drama,,",10,4,978226212,F,35,1,95370,30-40
All About My Mother (Todo Sobre Mi Madre) (1999),3083,"Comedy|Drama,,",5,5,978244114,M,25,20,55455,20-30
All Dogs Go to Heaven (1989),2123,"Animation|Children's,,",18,3,978155097,F,18,3,95825,10-20
All Dogs Go to Heaven 2 (1996),631,"Animation|Children's|Musical,,",75,4,977852486,F,1,10,01748,1-10
All Over Me (1997),1509,"Drama,,",5,3,978244962,M,25,20,55455,20-30
All Quiet on the Western Front (1930),1927,"War,,",10,3,978225599,F,35,1,95370,30-40
All That Jazz (1979),2971,"Musical,,",78,5,977811665,F,45,1,98029,40-50
All Things Fair (1996),666,"Drama,,",1352,3,1014582351,M,35,20,94122,30-40
All the King's Men (1949),1942,"Drama,,",107,4,977534558,M,45,18,63129,40-50
All the Rage (a.k.a. It's the Rage) (1999),3867,"Drama,,",195,5,1001970457,M,25,12,10458,20-30
All the Vermeers in New York (1990),3531,"Comedy|Drama|Romance,,",302,3,976506357,M,18,4,04901,10-20
Allan Quartermain and the Lost City of Gold (1987),2748,"Action|Adventure,,",40,3,978040922,M,45,0,10543,40-50
"Alley Cats, The (1968)",3164,"Drama,",4572,4,964460301,F,1,10,17036,1-10
Alligator (1980),2525,"Action|Horror|Sci-Fi,,",117,1,977504544,M,25,17,33314,20-30
"Allnighter, The (1987)",2244,"Comedy|Romance,",805,4,975396761,M,35,12,37211,30-40
Almost Famous (2000),3897,"Comedy|Drama,,",12,4,978218949,M,25,12,32793,20-30
Almost Heroes (1998),1887,"Adventure|Comedy,,",11,2,978902286,F,25,1,04093,20-30
Alphaville (1965),680,"Sci-Fi,,",173,4,1009652659,M,25,0,45237,20-30
Alvarez Kelly (1966),2896,"Western,,",384,2,976300432,M,25,11,55075,20-30
Amadeus (1984),1225,"Drama,,",2,5,978298391,M,56,16,70072,50-60
Amateur (1994),149,"Crime|Drama|Thriller,,",205,4,976922276,M,35,12,97333,30-40
"Amazing Panda Adventure, The (1995)",146,"Adventure|Children's,",75,3,977852680,F,1,10,01748,1-10
American Beauty (1999),2858,"Comedy|Drama,,",2,4,978298434,M,56,16,70072,50-60
American Buffalo (1996),806,"Drama,,",62,3,977904167,F,35,3,98105,30-40
American Dream (1990),1169,"Documentary,,",171,3,977166938,F,50,17,55441,40-50
American Flyers (1985),3214,"Drama,,",148,3,979576382,M,50,17,57747,40-50
American Gigolo (1980),3649,"Drama,,",35,3,978101170,M,45,1,02482,40-50
American Graffiti (1973),3363,"Comedy|Drama,,",10,5,978227696,F,35,1,95370,30-40
American History X (1998),2329,"Drama,,",8,5,978229900,M,25,12,11413,20-30
American Movie (1999),3007,"Documentary,,",63,5,980111343,M,18,4,54902,10-20
American Pie (1999),2706,"Comedy,,",11,2,978902286,F,25,1,04093,20-30
American Pimp (1999),3718,"Documentary,,",149,4,977325335,M,25,1,29205,20-30
American Pop (1981),3725,"Animation|Musical,,",35,1,978102099,M,45,1,02482,40-50
"American President, The (1995)",11,"Comedy|Drama|Romance,",23,2,978465404,M,35,0,90049,30-40
American Psycho (2000),3535,"Comedy|Horror|Thriller,,",15,2,978197348,M,25,7,22903,20-30
American Strays (1996),1102,"Action,,",46,1,977979482,M,18,19,75602,10-20
"American Tail, An (1986)",2141,"Animation|Children's|Comedy,",18,5,978155039,F,18,3,95825,10-20
"American Tail: Fievel Goes West, An (1991)",2142,"Animation|Children's|Comedy,",18,3,978155072,F,18,3,95825,10-20
"American Werewolf in London, An (1981)",1321,"Horror,",19,4,978555222,M,1,10,48073,1-10
"American Werewolf in Paris, An (1997)",2793,"Comedy|Horror,",53,3,977980579,M,25,0,96931,20-30
"American in Paris, An (1951)",900,"Musical|Romance,",45,3,977988587,F,45,16,94110,40-50
Amistad (1997),1693,"Drama,,",8,3,978231121,M,25,12,11413,20-30
Amityville 1992: It's About Time (1992),1322,"Horror,,",117,3,977505482,M,25,17,33314,20-30
Amityville 3-D (1983),1323,"Horror,,",183,3,1019355921,F,45,1,55407,40-50
"Amityville Curse, The (1990)",1328,"Horror,",117,3,977506259,M,25,17,33314,20-30
"Amityville Horror, The (1979)",1327,"Horror,",19,2,978555404,M,1,10,48073,1-10
Amityville II: The Possession (1982),1326,"Horror,,",117,3,977505150,M,25,17,33314,20-30
Amityville: A New Generation (1993),1325,"Horror,,",112,2,977508385,M,25,16,97209,20-30
Amityville: Dollhouse (1996),1324,"Horror,,",967,3,975115936,F,18,0,43615,10-20
Among Giants (1998),2569,"Drama|Romance,,",229,3,976822780,M,18,10,04576,10-20
Amos & Andrew (1993),1440,"Comedy,,",453,3,976246294,M,18,4,55102,10-20
An Unforgettable Summer (1994),790,"Drama,,",2344,3,974413229,M,25,12,02139,20-30
Anaconda (1997),1499,"Action|Adventure|Thriller,,",18,1,978154104,F,18,3,95825,10-20
Analyze This (1999),2539,"Comedy,,",11,4,978904142,F,25,1,04093,20-30
Anastasia (1997),1688,"Animation|Children's|Musical,,",6,5,978237570,F,50,9,55117,40-50
Anatomy (Anatomie) (2000),3892,"Horror,,",459,4,976228948,F,18,4,55105,10-20
Anatomy of a Murder (1959),3801,"Drama|Mystery,,",141,4,977357612,M,35,13,62035,30-40
Anchors Aweigh (1945),3599,"Comedy|Musical,,",33,3,978557832,M,45,3,55421,40-50
And God Created Woman (1988),3343,"Comedy|Drama|Romance,,",225,1,976912744,M,25,7,11215,20-30
"And God Created Woman (Et Dieu&#8230,Créa la Femme) (1956)",3845,"Drama,",689,3,975583482,F,50,0,48103,40-50
And Now for Something Completely Different (1971),2788,"Comedy,,",54,5,977944535,M,50,1,56723,40-50
And the Band Played On (1993),2071,"Drama,,",33,4,978110296,M,45,3,55421,40-50
And the Ship Sails On (E la nave va) (1984),2897,"Comedy|War,,",235,4,1010265996,M,25,0,98153,20-30
Andre (1994),577,"Adventure|Children's,,",75,4,977851256,F,1,10,01748,1-10
Angel Baby (1995),1428,"Drama,,",17,3,978159762,M,50,1,95350,40-50
Angel Heart (1987),3706,"Film-Noir|Mystery|Thriller,,",36,3,978211373,M,25,3,94123,20-30
Angel and the Badman (1947),964,"Western,,",216,3,976870583,M,45,13,52761,40-50
Angel on My Shoulder (1946),960,"Crime|Drama,,",62,4,977909532,F,35,3,98105,30-40
Angela (1995),130,"Drama,,",2264,3,974580501,F,45,7,37877,40-50
Angela's Ashes (1999),3179,"Drama,,",53,5,977948848,M,25,0,96931,20-30
Angels and Insects (1995),85,"Drama|Romance,,",11,1,978902286,F,25,1,04093,20-30
Angels in the Outfield (1994),1021,"Children's|Comedy,,",26,2,978140454,M,25,7,23112,20-30
Angus (1995),700,"Comedy,,",75,5,977852761,F,1,10,01748,1-10
Animal House (1978),3421,"Comedy,,",3,4,978298147,M,25,15,55117,20-30
Anna (1996),1316,"Drama,,",3952,4,974595248,F,45,1,12449,40-50
Anna Karenina (1997),1496,"Drama|Romance,,",291,4,976564982,M,35,12,55110,30-40
Anna and the King (1999),3155,"Drama|Romance,,",8,3,978232231,M,25,12,11413,20-30
Anne Frank Remembered (1995),116,"Documentary,,",10,3,979775053,F,35,1,95370,30-40
Annie Hall (1977),1230,"Comedy|Romance,,",10,4,978226968,F,35,1,95370,30-40
Another Day in Paradise (1998),2440,"Drama,,",173,1,998596464,M,25,0,45237,20-30
Another Man's Poison (1952),3229,"Crime|Drama,,",4169,4,1000082568,M,50,0,66048,40-50
Another Stakeout (1993),415,"Comedy|Thriller,,",53,3,977975455,M,25,0,96931,20-30
Antonia's Line (Antonia) (1995),82,"Drama,,",62,5,977901017,F,35,3,98105,30-40
Antz (1998),2294,"Animation|Children's,,",1,4,978824291,F,1,10,48067,1-10
Any Given Sunday (1999),3173,"Drama,,",8,2,978232012,M,25,12,11413,20-30
Anywhere But Here (1999),3051,"Drama,,",5,2,978241434,M,25,20,55455,20-30
Aparajito (1956),669,"Drama,,",173,4,1023477818,M,25,0,45237,20-30
"Apartment, The (1960)",909,"Comedy|Drama,",45,4,977990044,F,45,16,94110,40-50
"Ape, The (1940)",3058,"Horror|Sci-Fi,",278,3,976587027,M,45,18,60482,40-50
Apocalypse Now (1979),1208,"Drama|War,,",28,3,978125427,F,25,1,14607,20-30
Apollo 13 (1995),150,"Drama,,",1,5,978301777,F,1,10,48067,1-10
"Apostle, The (1997)",1694,"Drama,",20,3,1009669071,M,25,14,55113,20-30
"Apple Dumpling Gang Rides Again, The (1979)",2016,"Children's|Comedy|Western,",48,2,978143891,M,25,4,92107,20-30
"Apple Dumpling Gang, The (1975)",1007,"Children's|Comedy|Western,",6,3,978238036,F,50,9,55117,40-50
"Apple, The (Sib) (1998)",2503,"Drama,",1069,4,974942923,M,25,20,98105,20-30
April Fool's Day (1986),1330,"Comedy|Horror,,",278,3,976586622,M,45,18,60482,40-50
Apt Pupil (1998),2320,"Drama|Thriller,,",8,2,978231802,M,25,12,11413,20-30
Arachnophobia (1990),2699,"Action|Comedy|Sci-Fi|Thriller,,",8,5,978229347,M,25,12,11413,20-30
Arguing the World (1996),1743,"Documentary,,",293,4,999472243,M,56,1,55337-4056,50-60
"Aristocats, The (1970)",616,"Animation|Children's,",18,5,978155020,F,18,3,95825,10-20
Arlington Road (1999),2707,"Thriller,,",15,4,978196389,M,25,7,22903,20-30
Armageddon (1998),1917,"Action|Adventure|Sci-Fi|Thriller,,",2,3,978300174,M,56,16,70072,50-60
Armed and Dangerous (1986),2458,"Comedy|Crime,,",130,2,977431200,M,35,17,50021,30-40
Army of Darkness (1993),1215,"Action|Adventure|Comedy|Horror|Sci-Fi,,",10,4,978225824,F,35,1,95370,30-40
Around the World in 80 Days (1956),952,"Adventure|Comedy,,",13,3,978202328,M,45,1,93304,40-50
"Arrival, The (1996)",748,"Action|Sci-Fi|Thriller,",15,3,978196103,M,25,7,22903,20-30
Arsenic and Old Lace (1944),1269,"Comedy|Mystery|Thriller,,",10,5,978226500,F,35,1,95370,30-40
"Art of War, The (2000)",3879,"Action,",17,4,978158689,M,50,1,95350,40-50
Artemisia (1997),1695,"Drama,,",293,5,976560182,M,56,1,55337-4056,50-60
Arthur (1981),3524,"Comedy|Romance,,",6,3,978236719,F,50,9,55117,40-50
As Good As It Gets (1997),1784,"Comedy|Drama,,",2,5,978298841,M,56,16,70072,50-60
Ashes of Time (1994),757,"Drama,,",2928,4,971553278,M,25,2,90068,20-30
"Asphalt Jungle, The (1950)",3364,"Crime|Film-Noir,",27,5,978129223,M,25,11,19130,20-30
Assassination (1987),2737,"Action,,",424,2,1018280033,M,25,17,55112,20-30
Assassins (1995),23,"Thriller,,",50,3,977960565,F,25,2,98133,20-30
Assault on Precinct 13 (1976),3726,"Action|Thriller,,",29,5,978136129,M,35,7,33407,30-40
"Assignment, The (1997)",1631,"Thriller,",173,3,989524941,M,25,0,45237,20-30
"Associate, The (1996)",1113,"Comedy,",438,3,976255304,M,18,11,53705,10-20
"Astronaut's Wife, The (1999)",2827,"Sci-Fi|Thriller,",48,2,978148815,M,25,4,92107,20-30
Asylum (1972),3757,"Horror,,",1017,3,975012316,M,35,0,30906,30-40
At First Sight (1999),2445,"Drama,,",199,3,976988179,M,18,4,83706,10-20
Atlantic City (1980),2130,"Crime|Drama|Romance,,",62,4,977967255,F,35,3,98105,30-40
Attack of the Killer Tomatoes! (1980),2163,"Comedy|Horror,,",22,3,978153321,M,18,15,53706,10-20
Audrey Rose (1977),1331,"Horror,,",13,4,978201342,M,45,1,93304,40-50
August (1996),660,"Drama,,",1470,2,974839366,M,18,4,94118,10-20
Auntie Mame (1958),3548,"Comedy|Drama,,",28,4,978125922,F,25,1,14607,20-30
Austin Powers: International Man of Mystery (1997),1517,"Comedy,,",5,4,978245568,M,25,20,55455,20-30
Austin Powers: The Spy Who Shagged Me (1999),2683,"Comedy,,",5,3,978241434,M,25,20,55455,20-30
Autopsy (Macchie Solari) (1975),3485,"Horror,,",2318,1,974476391,M,56,7,48114,50-60
Autumn Sonata (Höstsonaten ) (1978),2131,"Drama,,",518,5,981055482,F,35,12,75240,30-40
"Autumn Tale, An (Conte d'automne) (1998)",2708,"Romance,",35,4,978103743,M,45,1,02482,40-50
Autumn in New York (2000),3824,"Drama|Romance,,",92,1,986187060,F,18,4,44243,10-20
Avalanche (1978),2534,"Action,,",29,3,978136098,M,35,7,33407,30-40
"Avengers, The (1998)",2153,"Action|Adventure,",18,3,978154123,F,18,3,95825,10-20
Awakenings (1990),3105,"Drama,,",1,5,978301713,F,1,10,48067,1-10
"Awfully Big Adventure, An (1995)",148,"Drama,",53,5,977987826,M,25,0,96931,20-30
Ayn Rand: A Sense of Life (1997),1780,"Documentary,,",136,3,977421113,M,18,2,21202,10-20
B*A*P*S (1997),1490,"Comedy,,",329,1,979766724,M,35,7,02115,30-40
B. Monkey (1998),1770,"Romance|Thriller,,",1884,4,974701557,M,45,20,93108,40-50
BASEketball (1998),2060,"Comedy,,",90,2,993877095,M,56,13,85749,50-60
Babe (1995),34,"Children's|Comedy|Drama,,",5,4,978244603,M,25,20,55455,20-30
Babe: Pig in the City (1998),2384,"Children's|Comedy,,",5,3,978245708,M,25,20,55455,20-30
Babes in Toyland (1961),2017,"Children's|Fantasy|Musical,,",6,3,978237813,F,50,9,55117,40-50
Baby Geniuses (1999),2555,"Comedy,,",16,2,978174296,F,35,0,20670,30-40
"Baby, The (1973)",3280,"Horror,",46,5,977979487,M,18,19,75602,10-20
"Baby-Sitters Club, The (1995)",343,"Children's,",310,1,976478453,F,18,4,31207,10-20
Baby... Secret of the Lost Legend (1985),3401,"Adventure|Sci-Fi,,",166,3,977297103,M,18,4,92802,10-20
Babyfever (1994),776,"Comedy|Drama,,",193,3,977019205,F,45,15,44106,40-50
"Babysitter, The (1995)",217,"Drama|Thriller,",26,3,978271309,M,25,7,23112,20-30
Bachelor Party (1984),3525,"Comedy,,",10,2,978226500,F,35,1,95370,30-40
"Bachelor, The (1999)",3004,"Comedy|Romance,",15,2,978196389,M,25,7,22903,20-30
Back Stage (2000),3890,"Documentary,,",2104,3,974652640,M,45,15,60035,40-50
Back to School (1986),2416,"Comedy,,",22,3,978153170,M,18,15,53706,10-20
Back to the Future (1985),1270,"Comedy|Sci-Fi,,",1,5,978300055,F,1,10,48067,1-10
Back to the Future Part II (1989),2011,"Comedy|Sci-Fi,,",10,4,978228118,F,35,1,95370,30-40
Back to the Future Part III (1990),2012,"Comedy|Sci-Fi|Western,,",10,5,978228174,F,35,1,95370,30-40
Backbeat (1993),346,"Drama|Musical,,",48,3,978059946,M,25,4,92107,20-30
Backdraft (1991),3107,"Action|Drama,,",2,2,978300002,M,56,16,70072,50-60
Bad Boys (1995),145,"Action,,",22,2,980066401,M,18,15,53706,10-20
Bad Company (1995),384,"Action,,",129,4,977433509,M,25,11,20164,20-30
Bad Girls (1994),416,"Western,,",26,3,978146104,M,25,7,23112,20-30
Bad Lieutenant (1992),3272,"Crime|Drama,,",149,2,977590367,M,25,1,29205,20-30
Bad Moon (1996),1168,"Horror,,",621,3,975798581,M,18,4,93560,10-20
"Bad Seed, The (1956)",2967,"Drama|Thriller,",10,4,978227848,F,35,1,95370,30-40
Bad Taste (1987),1255,"Comedy|Horror,,",165,5,977198415,M,18,16,98502,10-20
Badlands (1973),3741,"Crime|Drama,,",23,2,978462640,M,35,0,90049,30-40
Bait (2000),3898,"Action|Comedy,,",76,3,989092194,M,35,7,55413,30-40
"Ballad of Narayama, The (Narayama Bushiko) (1958)",854,"Drama,",173,5,993227631,M,25,0,45237,20-30
"Ballad of Narayama, The (Narayama Bushiko) (1982)",2512,"Drama,",173,5,993227693,M,25,0,45237,20-30
"Ballad of Ramblin' Jack, The (2000)",3880,"Documentary,",745,1,975466715,M,1,10,90004,1-10
Balto (1995),13,"Animation|Children's,,",38,3,978046407,F,18,4,02215,10-20
"Bamba, La (1987)",3478,"Drama,",53,3,977986508,M,25,0,96931,20-30
Bambi (1942),2018,"Animation|Children's,,",1,4,978301777,F,1,10,48067,1-10
Bamboozled (2000),3943,"Comedy,,",30,5,978121687,F,35,7,19143,30-40
Bananas (1971),1078,"Comedy|War,,",35,3,978101711,M,45,1,02482,40-50
"Band Wagon, The (1953)",935,"Comedy|Musical,",146,4,1042232657,F,35,20,10954,30-40
Band of the Hand (1986),3442,"Action,,",549,2,976122846,M,25,6,53217,20-30
Bandit Queen (1994),2284,"Drama,,",127,3,988496261,F,45,3,01770,40-50
Bandits (1997),2562,"Drama,,",1181,4,976147194,M,35,7,20716,30-40
"Bank Dick, The (1940)",3929,"Comedy,",62,4,977909495,F,35,3,98105,30-40
Baraka (1992),3677,"Documentary,,",46,1,977979482,M,18,19,75602,10-20
Barb Wire (1996),737,"Action|Sci-Fi,,",18,1,978154005,F,18,3,95825,10-20
Barbarella (1968),674,"Adventure|Sci-Fi,,",23,4,978464842,M,35,0,90049,30-40
Barcelona (1994),417,"Comedy|Romance,,",78,4,978571371,F,45,1,98029,40-50
"Barefoot Executive, The (1971)",2032,"Children's|Comedy,",216,2,976867421,M,45,13,52761,40-50
Barefoot in the Park (1967),2870,"Comedy,,",31,3,978121608,M,56,7,06840,50-60
Barenaked in America (1999),3913,"Documentary,,",108,1,977527658,M,25,12,30316,20-30
Barney's Great Adventure (1998),1826,"Adventure|Children's,,",310,1,976483545,F,18,4,31207,10-20
Barry Lyndon (1975),2730,"Drama,,",149,5,995129087,M,25,1,29205,20-30
Basic Instinct (1992),1092,"Mystery|Thriller,,",15,4,978198581,M,25,7,22903,20-30
"Basketball Diaries, The (1995)",147,"Drama,",131,1,977432313,M,18,4,06520,10-20
